class,level,category,book,recipe,recipe_id,book_id
Adorner,,Adornments,War Rune Recipe: Adamant Defiance,Adamant Defiance,515586599,3358337943
Adorner,,Adornments,War Rune Recipe: Adamant Defiance,Adamant Defiance,3147452086,3927534004
Adorner,,Adornments,War Rune Recipe: Adamant Resolve,Adamant Resolve,1343033106,297752498
Adorner,,Adornments,War Rune Recipe: Adamant Resolve,Adamant Resolve,2077029685,652987652
Adorner,,Adornments (Spirit Stone),Stoneshard Recipe: Aerakyn Guardian Stone,Aerakyn Guardian Stone,101203154,3175761775
Adorner,,Adornments,War Rune Recipe: Blinding Gleam,Blinding Gleam,3197737009,146495642
Adorner,,Adornments,War Rune Recipe: Blinding Gleam,Blinding Gleam,3409522059,2216304241
Adorner,,Adornments (Spirit Stone),Stoneshard Recipe: Crystal of Compressed Rage,Crystal of Compressed Rage,1941534456,1526276237
Adorner,,Adornments (Spirit Stone),Stoneshard Recipe: Essence of Duality,Essence of Duality,3414510691,2898560824
Adorner,,Adornments,War Rune Recipe: Ethernean Will,Ethernean Will,4016273673,1497479586
Adorner,,Adornments,War Rune Recipe: Ethernean Will,Ethernean Will,2596523187,3588292425
Adorner,,Adornments (Spirit Stone),Stoneshard Recipe: Eye of Draazak,Eye of Draazak,970176066,1486935105
Adorner,,Adornments,Essential Adornments Volume 1,Flickering Adornment of Agility (Lesser),1734000268,2988543603
Adorner,,Adornments,Essential Adornments Volume 1,Flickering Adornment of Blasting (Greater),1640097697,2988543603
Adorner,,Adornments,Essential Adornments Volume 1,Flickering Adornment of Endurance (Greater),2431396023,2988543603
Adorner,,Adornments,Essential Adornments Volume 1,Flickering Adornment of Endurance (Lesser),3370797883,2988543603
Adorner,,Adornments,Advanced Adornments Volume 1,Flickering Adornment of Endurance (Superior),3582881817,1248460866
Adorner,,Adornments,Essential Adornments Volume 1,Flickering Adornment of Energy (Greater),4021041097,2988543603
Adorner,,Adornments,Essential Adornments Volume 1,Flickering Adornment of Energy (Lesser),3874002616,2988543603
Adorner,,Adornments,Advanced Adornments Volume 1,Flickering Adornment of Energy (Superior),605474089,1248460866
Adorner,,Adornments,Essential Adornments Volume 1,Flickering Adornment of Intelligence (Lesser),3771863356,2988543603
Adorner,,Adornments,Essential Adornments Volume 1,Flickering Adornment of Mending (Greater),768708741,2988543603
Adorner,,Adornments,Essential Adornments Volume 1,Flickering Adornment of Strength (Lesser),1398777150,2988543603
Adorner,,Adornments,Essential Adornments Volume 1,Flickering Adornment of Wisdom (Lesser),1777405512,2988543603
Adorner,,Adornments,War Rune Recipe: Gossamer Deflection,Gossamer Deflection,1515011592,2728518969
Adorner,,Adornments,War Rune Recipe: Gossamer Deflection,Gossamer Deflection,2712027334,207025158
Adorner,,Adornments (Materials),"Transmuting Dilutions, Volume 1",Infusion of Earth,1654309164,2096953936
Adorner,,Adornments (Materials),"Transmuting Distillations, Volume 1",Infusion of Earth,492448102,1850302013
Adorner,,Adornments (Spirit Stone),Stoneshard Recipe: Jun'Rah Seer's Crystal,Jun'Rah Seer's Crystal,807809105,1709164727
Adorner,,Adornments (Materials),"Transmuting Dilutions, Volume 1",Lapis Lazuli Fragment,3846639840,2096953936
Adorner,,Adornments,War Rune Recipe: Obfuscation,Obfuscation,1145156867,2628316165
Adorner,,Adornments,War Rune Recipe: Obfuscation,Obfuscation,485491752,1004993888
Adorner,,Adornments,War Rune Recipe: Oracular Illumination,Oracular Illumination,2935409360,2041200338
Adorner,,Adornments (Spirit Stone),Stoneshard Recipe: Pickclaw Trickster's Gemstone,Pickclaw Trickster's Gemstone,2579062580,1241059078
Adorner,,Adornments (Materials),"Transmuting Distillations, Volume 1",Refined Mana,3144625553,1850302013
Adorner,,Adornments,Rune Recipe: AE Auto Attack,Rune: AE Auto Attack,3731105920,3760931802
Adorner,,Adornments,Rune Recipe: Accuracy,Rune: Accuracy,1549857939,677528310
Adorner,,Adornments,Rune Recipe: Ammo Conservation,Rune: Ammo Conservation,1853458934,1865993411
Adorner,,Adornments,Rune Recipe: Armor,Rune: Armor,2199496941,1797741102
Adorner,,Adornments,Rune Recipe: Block Chance,Rune: Block Chance,1332449215,3877559691
Adorner,,Adornments,Rune Recipe: Casting Speed,Rune: Casting Speed,388203706,910099805
Adorner,,Adornments,Rune Recipe: Crit Bonus,Rune: Crit Bonus,1546447247,1722029270
Adorner,,Adornments,Rune Recipe: Critical Chance,Rune: Critical Chance,1776300441,3797992984
Adorner,,Adornments,Rune Recipe: Damage Per Second,Rune: Damage Per Second,3926683481,1115241837
Adorner,,Adornments,Rune Recipe: Doublecast,Rune: Doublecast,1965013491,1335313578
Adorner,,Adornments,Rune Recipe: Flurry,Rune: Flurry,3026655485,3068310789
Adorner,,Adornments,Rune Recipe: Hate Gain,Rune: Hate Gain,3641019902,3836287647
Adorner,,Adornments,Rune Recipe: Hate Reduction,Rune: Hate Reduction,3782957045,3744742575
Adorner,,Adornments,Rune Recipe: Health,Rune: Health,1985270330,1959886786
Adorner,,Adornments,Rune Recipe: Potency,Rune: Potency,1027874082,2384519841
Adorner,,Adornments,Rune Recipe: Power,Rune: Power,2545178545,2139792754
Adorner,,Adornments,Rune Recipe: Recovery Speed,Rune: Recovery Speed,3057672432,1613557970
Adorner,,Adornments,Rune Recipe: Resistibility,Rune: Resistibility,31447566,3152810158
Adorner,,Adornments,Rune Recipe: Reuse Speed,Rune: Reuse Speed,4043508541,1856892341
Adorner,,Adornments,Rune Recipe: Riposte Conversion,Rune: Riposte Conversion,601482882,1913219725
Adorner,,Adornments,Rune Recipe: Riposte Damage,Rune: Riposte Damage,1143671267,2454165953
Adorner,,Adornments,Rune Recipe: Strikethrough,Rune: Strikethrough,2433171557,724863685
Adorner,,Adornments (Spirit Stone),Stoneshard Recipe: Spiritstone of Scale,Spiritstone of Scale,3620647274,2184661388
Adorner,,Adornments,War Rune Recipe: Storm Animus,Storm Animus,2911956070,1704459702
Adorner,,Adornments (Spirit Stone),Stoneshard Recipe: Trakanon's Heart of Stone,Trakanon's Heart of Stone,2847286437,1057679270
